0,1,2
181004.27314874355,-386.0,-70.99790954589844
130314.87532149372,-349.0,-69.8106918334961
90208.45329832075,-364.0,-63.46299362182617
137930.19555088136,-425.0,-67.4651107788086
88938.34814547421,-389.0,-55.92072296142578
130169.8657347215,-419.0,-67.84325408935547
80558.1618822709,-393.0,-48.99013137817383
91139.73245578805,-392.0,-56.17273712158203
137936.8655621777,-427.0,-64.27587127685547
108940.17214193853,-417.0,-57.247074127197266
84746.15600329521,-352.0,-62.596435546875
77227.19032086626,-356.0,-50.00188064575195
107957.16856100317,-398.0,-63.89226150512695
92969.47766815213,-391.0,-57.3262825012207
61551.17783574814,-351.0,-42.24233627319336
108417.05904319383,-387.0,-67.91289520263672
103072.50855130321,-373.0,-65.66276550292969
92649.85118633677,-413.0,-46.81681442260742
80134.63332216383,-394.0,-48.07598876953125
87538.06650681797,-404.0,-47.39633560180664
74179.97651037273,-340.0,-50.10574722290039
90621.49335660739,-409.0,-46.90069580078125
82109.37921526599,-396.0,-47.46916961669922
85959.84032212218,-398.0,-46.79117202758789
74905.94752431252,-344.0,-49.72010040283203
61024.58291788453,-351.0,-42.22905731201172
92724.14392308435,-416.0,-47.199066162109375
98350.32653874582,-416.0,-47.2053337097168
109032.19739119688,-399.0,-63.890708923339844
73115.67457141096,-355.0,-48.486637115478516
88813.54927075958,-391.0,-52.39807891845703
82201.07832346915,-360.0,-62.581573486328125
101337.09842933995,-403.0,-61.171630859375
63091.371047861234,-363.0,-41.357601165771484
115599.39592761832,-403.0,-64.54641723632812
130430.41942863978,-423.0,-64.00457000732422
71351.88508995845,-380.0,-46.39682388305664
68332.30087456,-378.0,-47.840980529785156
63353.4631771273,-361.0,-46.3502197265625
70811.61333760488,-384.0,-45.73384475708008
131915.40326653983,-357.0,-69.8804931640625
113446.12403819746,-413.0,-61.9551887512207
89973.31508235834,-378.0,-63.00459671020508
63184.68137613917,-344.0,-47.11115264892578
62577.1690570416,-361.0,-46.31071472167969
112059.76002004318,-430.0,-51.03594207763672
56738.563406525,-326.0,-37.19968032836914
74994.91728837727,-345.0,-49.72010040283203
117966.26191939533,-417.0,-61.67037582397461
131577.83688782607,-424.0,-67.6706314086914
80949.14796778426,-362.0,-60.82843017578125
62162.31787790269,-347.0,-46.01187515258789
91640.39919580903,-361.0,-65.28124237060547
71987.46536725663,-385.0,-46.67538833618164
73180.23279118711,-363.0,-49.08238983154297
106495.8504607825,-416.0,-57.461578369140625
75302.35020018915,-345.0,-52.41166305541992
81248.37974522568,-394.0,-49.09046936035156
110939.12683523446,-425.0,-57.40895080566406
116407.78375401792,-435.0,-50.97527313232422
80134.74553694866,-383.0,-57.17605209350586
76765.97156552091,-387.0,-49.241241455078125
95254.15762010418,-401.0,-60.278621673583984
58419.87240522776,-333.0,-41.6345100402832
138333.22854400065,-383.0,-70.26187896728516
74180.25884023825,-341.0,-50.22330856323242
114911.11216554884,-401.0,-63.70850372314453
126572.95955677939,-404.0,-65.84375762939453
112297.8175581008,-431.0,-51.0373649597168
113864.10207408047,-400.0,-63.815635681152344
75791.96902600591,-392.0,-48.10013961791992
59757.21221314308,-338.0,-42.39897155761719
130735.69411055853,-351.0,-69.72025299072266
96261.84086345794,-367.0,-65.77008819580078
59144.24798981197,-338.0,-42.38640594482422
76149.7969468375,-394.0,-46.42350769042969
60271.87038857796,-347.0,-41.59072494506836
110613.20926308683,-398.0,-68.4993896484375
89870.10455257361,-390.0,-57.260921478271484
137234.58768581806,-374.0,-70.56124114990234
